"County","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14"
"Adams",,1,,5,6,6,7,7,8,8,8,,,,,,,,,,33,38,43,44,48,56,63,64,67,70,74,80,85,91,92,95,110,113,117,122,124,130,137,140,141,145,148,148,148,151,154,156,159,159,167,169,169,174,185,189,194,194,197,204,214,222,226,227,233,236,240,241,245,251,250,255,260,263,264,269,273,275,275,278,279,284,290,296
"Allegheny",11,16,31,40,48,58,133,133,158,219,265,290,325,356,419,476,552,605,642,689,720,759,788,836,857,876,893,904,925,947,1009,1035,1042,1059,1088,1149,1177,1198,1211,1224,1235,1273,1289,1319,1333,1345,1365,1375,1394,1439,1455,1486,1503,1503,1526,1545,1545,1551,1595,1603,1641,1658,1687,1718,1739,1753,1777,1805,1816,1828,1851,1870,1897,1911,1919,1928,1952,1965,1973,1989,2003,2008,2027,2034,2055,2065,2079,2086
"Armstrong",,,,,,1,1,1,1,2,3,,,,,,,,,,19,20,22,26,27,28,28,29,32,32,36,38,38,38,39,43,43,46,46,47,50,50,51,52,52,52,52,53,55,55,55,55,55,55,55,56,56,56,58,58,58,58,58,58,58,58,58,58,59,61,62,62,62,62,62,62,64,64,64,65,65,65,65,65,65,66,66,66
"Beaver",2,2,,3,3,3,13,13,14,22,28,,52,54,55,65,69,84,96,116,128,129,139,143,145,153,156,158,168,178,278,288,298,303,317,319,337,359,366,387,388,392,405,426,435,435,458,466,471,472,479,482,491,491,493,509,509,512,518,517,533,534,539,539,550,552,554,568,570,570,579,582,589,590,590,591,594,599,598,598,603,603,608,610,610,611,611,613
"Bedford",,,,,,,,,,,,,,,,,,,,,4,4,3,5,5,5,5,9,11,13,14,15,15,16,16,20,21,21,21,21,22,24,24,24,24,24,24,26,27,27,28,29,29,29,29,29,29,30,32,32,32,32,32,36,36,37,37,37,37,38,38,39,39,39,40,40,41,42,43,43,44,45,45,45,46,46,48,52
"Berks",1,1,,13,14,16,36,36,65,65,68,,,,168,201,235,276,326,369,416,616,720,930,1035,1150,1247,1335,1419,1537,1748,1898,1945,1988,2069,2212,2339,2406,2491,2526,2605,2637,2698,2748,2810,2886,2948,3004,3048,3095,3190,3257,3371,3371,3453,3485,3485,3530,3643,3677,3719,3735,3763,3784,3838,3845,3885,3903,3919,3952,3973,3988,4002,4061,4074,4107,4132,4152,4167,4184,4201,4218,4236,4251,4262,4281,4319,4324
"Blair",,,,,,,1,1,1,2,3,,,,,,,,,,6,6,9,10,10,11,11,12,13,14,13,13,14,14,14,15,19,21,21,21,21,23,23,23,23,24,25,25,25,28,28,28,28,28,30,31,31,32,34,38,38,38,39,44,46,46,46,48,48,48,49,49,50,50,50,51,52,52,53,53,53,53,53,53,53,54,55,55
"Bradford",,,,,,1,2,2,2,3,3,,,,,,,,,,15,15,16,18,18,19,19,19,19,20,24,25,25,31,29,28,28,28,28,28,28,29,31,33,35,35,35,35,36,36,37,38,38,38,37,39,39,41,41,41,41,41,41,43,43,44,44,44,45,46,46,46,46,46,46,48,46,46,46,46,46,46,46,46,46,46,47,47
"Bucks",9,12,,32,43,65,107,107,124,152,203,246,286,312,370,446,488,555,619,690,756,871,958,1051,1107,1177,1222,1300,1407,1524,1619,1722,1812,1917,2004,2131,2283,2421,2504,2585,2643,2733,2870,3055,3182,3286,3356,3445,3508,3613,3750,3852,3966,3966,4116,4166,4166,4248,4391,4439,4516,4573,4662,4726,4764,4839,4867,4894,4916,4930,4966,5012,5050,5082,5100,5116,5137,5158,5197,5243,5261,5278,5304,5340,5365,5396,5428,5439
"Butler",,,,1,5,6,19,19,26,41,47,49,60,64,69,75,84,87,91,107,113,113,123,128,133,143,143,150,154,157,160,161,161,162,164,164,168,168,170,170,174,175,178,180,180,180,180,184,185,190,192,194,195,195,198,197,197,199,202,203,203,206,208,209,209,216,219,220,220,222,226,227,229,230,230,232,235,240,239,244,247,247,249,250,255,256,257,257
