"County","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22"
"Adams","1208","1237","1254","1286","1329","1371","1408","1434","1454","1481","1531","1566","1605","1633","1662","1670","1692","1737","1785","1812","1845","1845","1906","1953","1953","1978","2084","2122","2196","2256","2302","2360","2418"
"Allegheny","11348","11611","11959","12625","13200","13,961","14399","14765","15004","15426","15815","16107","16646","16851","17284","17636","18006","18402","18913","19342","19559","19559","20058","20622","20622","21086","22096","22239","22819","23485","24154","24958","25517"
"Armstrong","459","474","505","552","574","593","602","606","624","647","675","683","710","717","724","753","775","797","819","835","836","836","875","921","921","944","958","960","973","997","1064","1083","1099"
"Beaver","1621","1628","1638","1667","1798","1831","1864","1898","1905","2007","2055","2085","2142","2152","2161","2187","2291","2317","2380","2406","2495","2495","2513","2556","2556","2581","2705","2710","2781","2809","2897","2952","3122"
"Bedford","103","109","112","129","144","148","158","162","169","177","193","202","214","225","241","253","262","293","303","319","335","335","352","383","383","401","464","475","484","502","547","563","601"
"Berks","3948","4011","4139","4408","4590","4759","4954","5072","5231","5313","5471","5620","5786","5948","6091","6252","6342","6514","6713","6920","7335","7335","7619","7756","7756","7921","8369","8578","8786","9058","9191","9407","9867"
"Blair","637","646","650","675","740","848","868","886","903","937","958","979","1035","1079","1131","1174","1213","1264","1314","1377","1447","1447","1491","1577","1577","1642","1832","1863","1899","1969","2074","2138","2292"
"Bradford","391","408","457","466","489","505","516","522","555","616","678","693","698","708","716","769","830","849","862","891","896","896","913","990","990","1014","1040","1042","1048","1120","1182","1238","1272"
"Bucks","5742","5884","6108","6414","6747","7,046","7265","7497","7661","7915","8232","8560","8881","9121","9323","9540","9728","10111","10426","10779","11216","11216","11656","11882","11882","12806","13705","13862","14366","14730","15034","15691","16192"
"Butler","1801","1840","1876","1944","1978","2016","2030","2041","2066","2140","2170","2208","2304","2326","2461","2524","2583","2625","2695","2722","2737","2737","2799","2867","2867","2914","2984","2992","3034","3117","3187","3248","3325"
"Cambria","499","567","642","760","829","848","912","938","986","1056","1169","1227","1299","1382","1402","1525","1601","1713","1785","1860","1925","1925","2041","2151","2151","2227","2423","2484","2549","2627","2792","2956","3042"
"Cameron","19","19","19","23","23","33","38","45","46","49","49","50","53","54","62","65","66","67","76","79","79","79","80","81","81","84","85","86","86","90","97","110","116"
"Carbon","781","793","814","837","865","896","925","948","966","1006","1042","1068","1096","1122","1141","1161","1186","1220","1260","1322","1354","1354","1420","1461","1461","1527","1627","1662","1707","1759","1821","1888","1948"
"Centre","605","605","618","718","762","793","811","831","850","878","895","923","950","1016","1051","1071","1119","1141","1173","1217","1248","1248","1291","1347","1347","1368","1438","1483","1512","1529","1632","1697","1763"
"Chester","3994","4075","4178","4322","4496","4614","4756","4895","4983","5070","5249","5440","5609","5740","5883","5990","6113","6291","6493","6644","6920","6920","7290","7510","7510","7726","8268","8421","8706","8964","9164","9558","9921"
"Clarion","376","382","384","391","450","454","463","464","466","477","480","489","493","500","502","518","529","535","547","548","554","554","559","565","565","570","574","587","587","590","599","608","628"
"Clearfield","327","331","337","357","370","379","383","395","399","414","423","436","455","474","492","503","514","529","556","578","591","591","654","681","681","701","739","781","799","820","855","897","918"
"Clinton","109","114","125","138","152","160","174","193","206","222","238","242","252","270","281","285","299","310","316","335","342","342","360","370","370","383","403","413","440","444","453","463","474"
"Columbia","194","220","279","332","365","386","469","510","540","574","597","620","657","693","701","715","737","756","782","818","838","838","886","915","915","946","999","1028","1045","1072","1083","1105","1139"
"Crawford","549","554","555","559","611","616","628","630","658","678","687","689","699","708","711","725","728","733","745","749","751","751","775","798","798","804","814","846","858","877","894","937","964"
"Cumberland","904","935","990","1053","1113","1167","1230","1275","1339","1375","1449","1519","1585","1670","1744","1796","1839","1921","1989","2040","2208","2208","2459","2536","2536","2617","2820","2950","3056","3266","3333","3553","3674"
"Dauphin","2396","2448","2599","2733","2831","2950","3063","3158","3322","3418","3515","3618","3783","3881","3997","4176","4217","4317","4550","4663","4778","4778","6254","6439","6439","6699","7171","7288","7531","7977","8039","8328","8426"
"Delaware","6398","6540","6737","6967","7229","7492","7815","7957","8127","8429","8677","9064","9391","9723","9973","10186","10437","10712","11122","11455","11950","11950","12356","12656","12656","13045","14296","14587","15036","15445","15817","16546","17041"
"Elk","118","119","120","129","133","142","147","148","148","153","156","159","171","177","181","190","191","197","211","214","214","214","222","224","224","226","232","235","238","242","253","272","280"
"Erie","1335","1340","1351","1416","1492","1533","1556","1621","1770","1850","1892","1912","2034","2118","2133","2290","2367","2439","2503","2557","2609","2609","2734","2797","2797","2876","3024","3111","3151","3278","3420","3558","3658"
"Fayette","1354","1376","1394","1475","1527","1584","1622","1648","1682","1716","1765","1794","1878","1908","1957","1992","2049","2087","2130","2148","2181","2181","2262","2299","2299","2352","2402","2491","2544","2619","2670","2728","2797"
"Forest","21","21","20","21","24","24","26","26","27","29","29","30","30","30","30","30","31","32","33","35","36","36","39","42","42","44","46","53","57","58","59","62","63"
"Franklin","2174","2244","2280","2367","2452","2516","2576","2630","2695","2746","2813","2940","3053","3120","3186","3242","3294","3359","3475","3566","3609","3609","3714","3798","3798","3852","4019","4082","4106","4184","4255","4426","4463"
"Fulton","54","55","58","58","63","65","72","74","75","81","83","84","89","92","96","99","101","111","121","127","133","133","136","140","140","140","147","150","151","152","163","182","186"
"Greene","324","332","347","358","364","384","392","393","395","407","419","421","429","438","451","463","482","495","511","517","520","520","528","549","549","559","575","584","604","621","645","668","688"
"Huntingdon","179","182","198","207","215","225","228","233","242","255","274","283","307","320","330","340","364","398","409","435","463","463","492","531","531","547","604","613","631","652","673","690","719"
"Indiana","439","453","459","488","538","564","590","598","613","647","693","726","755","773","773","782","827","847","860","871","885","885","907","920","920","938","983","1005","1019","1032","1051","1071","1103"
"Jefferson","255","258","262","273","287","288","297","305","308","310","311","316","322","325","340","348","352","359","368","375","377","377","384","390","390","396","404","409","416","423","436","443","453"
"Juniata","69","71","76","82","92","102","111","117","122","130","139","148","161","167","173","176","180","186","196","203","208","208","217","221","221","236","259","266","270","276","283","290","293"
"Lackawanna","1573","1612","1661","1762","1840","1943","2025","2107","2197","2288","2409","2505","2656","2767","2825","2904","2981","3065","3157","3246","3417","3417","3694","3767","3767","3893","4125","4184","4249","4497","4723","4907","5040"
"Lancaster","5808","5956","6104","6267","6549","6692","6911","7125","7297","7423","7590","7809","8148","8342","8579","8759","8929","9075","9281","9537","9710","9710","10076","10420","10420","10730","11385","11588","11807","12256","12442","12916","13286"
"Lawrence","531","537","550","585","621","634","644","667","681","711","724","736","758","767","789","810","833","848","873","889","903","903","922","934","934","950","972","978","1004","1025","1056","1083","1115"
"Lebanon","1972","2033","2065","2128","2209","2283","2339","2397","2444","2493","2535","2631","2724","2790","2849","2880","2933","2986","3055","3134","3183","3183","3291","3362","3362","3430","3555","3615","3663","3746","3783","3860","3926"
"Lehigh","5792","5883","6043","6205","6344","6536","6694","6805","6883","6973","7138","7305","7508","7626","7726","7828","8013","8257","8459","8682","8950","8950","9255","9537","9537","9903","10466","10630","10865","11215","11521","11888","12182"
"Luzerne","3399","3449","3569","3733","3910","4079","4238","4362","4508","4635","4849","5009","5229","5381","5528","5684","5828","5981","6133","6305","6444","6444","7024","7157","7157","7383","7791","7900","8005","8400","8630","8913","9271"
